timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620201336000,32697,query88,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-17,text,true,,163,0,15,15,null,32697,0,896
1620201330844,38194,query53,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-3,text,true,,2629,0,14,14,null,38194,0,0
1620201324002,46176,query26,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-5,text,true,,5151,0,13,13,null,46175,0,1008
1620201322999,47543,query15,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-4,text,true,,1951,0,12,12,null,47542,0,1128
1620201321000,50957,query7,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-2,text,true,,5106,0,11,11,null,50957,0,1025
1620201329999,42610,query52,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-11,text,true,,7574,0,10,10,null,42610,0,930
1620201330998,41754,query55,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-12,text,true,,7052,0,9,9,null,41754,0,908
1620201328999,44121,query50,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-10,text,true,,11139,0,8,8,null,43942,0,921
1620201320002,54607,query2,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-1,text,true,,170903,0,7,7,null,53355,0,1065
1620201325999,54171,query33,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-7,text,true,,1607,0,6,6,null,54171,0,991
1620201331998,48506,query56,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-13,text,true,,2570,0,5,5,null,48506,0,975
1620201333009,48197,query60,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-14,text,true,,2722,0,4,4,null,48197,0,945
1620201338000,45530,query98,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-19,text,true,,10982744,0,3,3,null,32395,0,971
1620201325002,60902,query31,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-6,text,true,,16765,0,2,2,null,60268,0,950
1620201334999,58692,query71,200,OK,20 Concurrent User: Azure Synapse Analytics (DW1000c) 3-16,text,true,,21425968,0,1,1,null,38275,0,994
1620201395698,9766,query13,200,OK,50 Concurrent User: Azure Synapse Analytics (DW1000c) 4-3,text,true,,43,0,12,12,null,9766,0,1054
1620201401697,11118,query48,200,OK,50 Concurrent User: Azure Synapse Analytics (DW1000c) 4-9,text,true,,10,0,19,19,null,11118,0,1026
