timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1623411138369,81815,query2-1,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,170903,0,1,1,null,80468,0,2074
1623411220188,253,query2-2,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,170903,0,1,1,null,175,0,0
1623411220442,279,query2-3,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,170903,0,1,1,null,199,0,0
1623411220723,22269,query7-1,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,5130,0,1,1,null,22267,0,0
1623411242998,250,query7-2,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,5130,0,1,1,null,249,0,0
1623411243249,162,query7-3,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,5130,0,1,1,null,161,0,0
1623411243413,45648,query13-1,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,44,0,1,1,null,45648,0,0
1623411289062,228,query13-2,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,44,0,1,1,null,227,0,0
1623411289291,283,query13-3,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,44,0,1,1,null,282,0,0
1623411289575,70088,query15-1,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,2052,0,1,1,null,70086,0,0
1623411359665,148,query15-2,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,2052,0,1,1,null,147,0,0
1623411359817,124,query15-3,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,2052,0,1,1,null,123,0,0
1623411359943,17806,query26-1,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,5189,0,1,1,null,17805,0,0
1623411377750,161,query26-2,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,5189,0,1,1,null,160,0,0
1623411377912,154,query26-3,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,5189,0,1,1,null,154,0,0
1623411378068,396101,query31-1,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,15309,0,1,1,null,394505,0,0
1623411774172,287,query31-2,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,15309,0,1,1,null,284,0,0
1623411774460,273,query31-3,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,15309,0,1,1,null,270,0,1
1623411774736,39696,query33-1,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,1723,0,1,1,null,39695,0,0
1623411814436,186,query33-2,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,1723,0,1,1,null,186,0,0
1623411814622,175,query33-3,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,1723,0,1,1,null,175,0,0
1623411814800,6319,query42-1,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,804,0,1,1,null,6318,0,0
1623411821121,126,query42-2,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,804,0,1,1,null,126,0,0
1623411821248,108,query42-3,200,OK,1 User: Azure Synapse Analytics (With Caching Disabled) 1-1,text,true,,804,0,1,1,null,108,0,0
